"Relative Time","Hits"
"00:00","0"
"00:08","0.5"
"00:16","0.5"
"00:24","0.5"
"00:32","0.5"
"00:40","0.5"
"00:48","0.25"
"00:56","1.25"
"01:04","1.75"
"01:12","2"
"01:20","2.5"
"01:28","1.25"
"01:36","1.75"
"01:44","2"
"01:52","1.5"
"02:00","2"
"02:08","2"
"02:16","2.25"
"02:24","3"
"02:32","2.75"
"02:40","2.25"
"02:48","2"
"02:56","1.75"
"03:04","2"
"03:12","1"
"03:20","2"
"03:28","2"
"03:36","1.5"
"03:44","1.625"
"03:52","0.875"
"04:00","1"
"04:08","1"
"04:16","1.25"
"04:24","2.125"
"04:32","3.25"
"04:40","1.75"
"04:48","2.25"
"04:56","1.625"
"05:04","1.625"
"05:12","0"
"05:20","2"
"05:28","2.75"
"05:36","3"
"05:44","2"
"05:52","2.5"
"06:00","1.75"
"06:08","0.75"
"06:16","0.875"
"06:24","0"
"06:32","0.75"
"06:40","1"
"06:48","1.25"
"06:56","1.25"
"07:04","1.625"
"07:12","1"
"07:20","1.75"
"07:28","0"
