"Relative Time","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","","2.167"
"00:16","","","7.149"
"00:32","","","2.228"
"00:48","","","2.182"
"01:04","2.347","","2.16"
"01:20","","","2.206"
"01:36","2.384","",""
"01:52","2.426","",""
"02:08","2.373","",""
"02:24","2.994","",""
"02:40","3.288","",""
"02:56","4.148","",""
"03:12","4.291","",""
"03:28","4.541","",""
"03:44","4.19","",""
"04:00","4.429","",""
"04:16","4.214","",""
"04:32","6.711","",""
"04:48","4.24","",""
"05:04","4.321","0.921",""
"05:20","4.302","",""
"05:36","4.218","0.928",""
"05:52","6.159","0.924",""
"06:08","4.151","0.917",""
"06:24","4.254","",""
"07:28","6.689","0.945",""
"07:44","4.178","0.911",""
"08:00","","0.92",""
