"Relative Time","cart_Transaction","Category_selection_Transaction","checkout_Transaction","Login_Transaction","order_Transaction","Product_selection_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","0.995","0.364","","1.102","","0.101","","2.83"
"00:08","0.82","0.298","0.944","0.697","0.973","0.354","","8.298"
"00:16","0.349","0.192","0.178","1.716","0.404","0.192","",""
"00:24","0.749","0.42","0.522","3.33","1.568","0.362","",""
"00:32","0.715","0.37","0.353","3.182","1.617","0.445","",""
"00:40","0.714","0.381","0.347","3.217","1.636","0.357","",""
"00:48","0.685","0.37","0.367","3.199","1.531","0.349","",""
"00:56","0.768","0.41","0.351","3.667","1.648","0.354","",""
"01:04","0.748","0.416","0.364","3.099","1.538","0.348","",""
"01:12","0.692","0.431","0.349","3.565","1.529","0.401","",""
"01:20","0.686","0.354","0.347","3.147","1.509","0.349","",""
"01:28","0.724","0.35","0.36","3.19","1.572","0.351","",""
"01:36","0.564","0.303","0.321","2.041","1.281","0.329","",""
"01:44","0.254","0.127","0.134","0.598","0.497","0.128","",""
"01:52","0.643","0.328","0.327","3.221","1.402","0.328","",""
"02:00","0.705","0.409","0.356","3.157","1.609","0.35","",""
"02:08","0.686","0.361","0.35","3.449","1.543","0.358","",""
"02:16","0.688","0.378","0.37","3.159","1.532","0.348","",""
"02:24","0.684","0.381","0.4","3.253","1.54","0.348","",""
"02:32","0.403","0.207","0.206","1.292","0.791","0.202","",""
"02:40","0.256","0.131","0.129","0.627","0.395","0.13","",""
"02:48","0.413","0.227","0.212","1.752","0.398","0.209","",""
"02:56","0.772","0.388","0.347","3.215","1.515","0.349","0.352",""
"03:04","0.775","0.354","0.352","3.222","1.506","0.353","",""
"03:12","0.723","0.352","0.355","3.216","1.527","0.375","0.356",""
"03:20","0.688","0.353","0.352","3.187","1.532","0.418","0.346",""
"03:28","0.703","0.354","0.355","3.199","1.573","0.438","",""
"03:36","0.623","0.312","0.316","2.752","1.622","0.318","0.354",""
"03:44","0.275","0.155","0.141","0.674","0.589","0.14","",""
"03:52","0.477","0.311","0.363","2.938","0.791","0.291","0.132",""
"04:00","0.822","0.369","0.35","3.202","1.73","0.367","0.36",""
"04:08","0.707","0.364","0.363","3.308","1.523","0.631","0.358",""
"04:16","0.717","0.355","0.364","3.141","1.54","0.355","",""
"04:24","0.681","0.342","0.347","3.1","1.528","0.347","0.344",""
"04:32","","","","","1.48","","0.34",""
